business_id,category,business_name,city,state,business_stars,review_stars,review_date,user_id,text,useful_vote,funny_vote,cool_vote
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,3,2016-12-09 00:00:00,RvkO4f_Tm4bAkUwTgi7GOg,"I've done several review on Vegas...hotels, restaurants, etc...and I have to preface this one by saying that I prefer to try different things when I go to Vegas, unless I've been totally overwhelmed (Mon Ami Gabi!).

Ceasar's Palace...you were a great trip...but you did send me mixed messages at times.

What you need to keep in mind:
-ROOM TYPE, ROOM TYPE, ROOM TYPE.  Research what you are booking, go to YouTube and look at video reviews...this will greatly impact your stay experience.
-Agustus Tower: Big room, not a great bed, sunken tub with jets is amazing.  Double sinks are luxurious...but overall appointments are average considering you have to pay more.
-Casino is oddly shaped...I have never liked playing in Ceasar's because it's dark and super smokey (not near the outside doors - no air circulation)
-Food options are GREAT.  You can find great options here and I recommend any of them.  The Gordon Ramsay Pub is my favorite.

REDEEMING FACTOR:
Location, location, location! Center strip, easily accessible to so much all around!",0,0,1
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,5,2015-01-19 00:00:00,5Zq9Wh2aoP2UluNVbYWStQ,FANTASTIC place to stay! The beds are soft enough to be comfortable but firm enough to offer support. The rooms are large and elegantly decorated. The staff is friendly and very helpful no matter who you talk to. Room service is excellent and the food quality is delectable! From beginning to end...your stay here makes you feel like royalty! They are even accommodating to individuals with needs for a "medical" refrigerator! All you have to do is ask and every request is met with a smile!!! Thanks Caesar's Palace!!!!,0,0,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,3,2009-03-27 00:00:00,FpEO1nOYa2DxdxLsOiL84Q,"We get free rooms here so it is hard to complain...But when I was there last weekend, there was a big mess with my room situation. First, they gave me a one bedroom, when I need a 2 bedroom because I have 3 guests.  They told me I could switch rooms the 2nd night, but what a hassle! 
So we get up to our ONE bedroom hotel room and these people walk up behind us and are like ""Um... are you tring to get into this room?  Because this is our room and all of our stuff is in here already.""  It locked the poor couple out of their room and we had to go back to the front desk and get the room situation handled again!  It took over an hour and a half to get checked in to a room.
This hotel would not be my top choice if I did not get comps here.",0,2,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,3,2016-07-09 00:00:00,dQtfQILBuQ7lF5EISKfgYQ,Our room was great. We appreciate the upgrade and also the quality you take to maintain the hotel   it was over all an excellent trip we had. But you might want to double check and make sure the towels are a little cleaner next time,0,0,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,4,2011-02-25 00:00:00,ZVRXa0tD62C2NCcDolEqQQ,"I've been staying at Caesars almost every Vegas trip for the past couple of years and overall it is an excellent hotel.  I can't speak for the other towers but the Augustus and Palace towers are worth staying in.  I've heard the Centurion is one tower to avoid... 
Overall service has always been excellent.  I actually don't think I've received bad service over the past two years - which is actually pretty amazing. The casino is large so there are always open tables to play.  There are multiple bars around as well to just relax and drink.  The spa Qua is really nice and relaxing.  Best of all Qua is very large so it doesn't feel crowded.
If you go there make sure to ask for an upgrade to the Augustus tower.  Will definitely go back.",0,0,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,3,2011-06-25 00:00:00,6ce1NSAUt1Kr7efrLI8XQA,"Really a 3.5 for me after our stay here. 

The Good: 
Rooms are very spacious, and very clean. 
The casino and all the shopping in the Forum are wonderful. 
The pool is amazing and so beautiful 
High end restaurants are good inside (The Palm) 
Great nightclub 
Awesome bar's throughout 
Beautiful Greek decor 

The not so good: 
No bathroom doors in the rooms, weird I know, this really bothered my brother in law. No privacy when your doing your thing. 
The front desk took forever and ever, very long wait to check in. 
The staff are just OK, I would expect better service at a place like this. 
One morning my brother in law went down for coffee, the morning they were leaving and got told by four different staff members where to go as it was early, and all the information they gave him was wrong. He had to wait 30 minutes for a cafe to open at 6 am. and was treated very rudely. 

The coffee for a 20 oz. cup was $5, or room service $15. I feel like they really take advantage of people with outrageous prices. 

My hubby was the smart one walked across the street every single morning for me to Burger King, where I got almost three cups for that price. 

The guest parking is a nightmare to find, no signage at all, very confusing. As well as the number of elevators for all the different towers. Yes, it is huge once inside but very hard to find your way around. 

Final note, instead of charging my husband's company credit card they charged our personal credit card after numerous times of discussing this. So we had to expense it and wait for our money. They could not reverse the charge, again not the best Customer Service. 

Would I stay here again, hmmm not sure really, maybe if I got one hell of a deal.",5,4,4
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,4,2006-03-19 00:00:00,32sxRjdlvBsQRiwuGQUeXQ,"One of the better casinos.  I've always had a thing for Caesar's because I was a stone sculptor, like, 10 lives before this current one.",0,2,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,3,2015-11-14 00:00:00,bJcvEmFZyWIx_x2VBPtGHQ,"Good things: online check in/check out. Reasonably priced rooms. We got an upgraded room that was a junior suite in the Palace tower. Huge room with a view and 2 bathrooms. Nice meeting rooms for a convention.

Not so good: $28/night resort fee--not sure that included anything other than air to breathe, as every item was ala carte. Want a bottle of water? $7. Need Internet? $12.95 for 24 hours. Early check in? $30. The casino seemed old and smoky. The shops have hawkers that insist you enter their stores and then hover over you while you shop.",1,0,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,2,2015-05-03 00:00:00,pS0h-b_aWVm-drm880T01w,"My room was very nice and comfortable, and I expected to give Caesars a much higher rating, but....

They raised their room service prices but didn't check to make sure they updated all the menus in the rooms. I ordered an omelet for breakfast and what was listed as a BOTTLE of Dr. Pepper. The bottle was actually a 12 ounce can (menu price for the BOTTLE was $6, actual price for the can was $7). The omelet was $3 more than the menu price, and the room service charge was actually $10 when the menu said it was $6. When all was said and done I was overcharged by $10!

They did honor the menu prices, but it look a lot of work and no fewer than 3 phone calls to get them to do it.

I also had a problem with the internet. It wouldn't stay connected. I don't know if they needed to reboot the routers or just get new ones, but it was very frustrating.

Additionally, I don't know where Caesars ranks as far as the total number of hotel rooms, but the the place is absolutely huge with no fewer than 7 towers. Being big isn't inherently bad, but the layout is, especially for a property this large. They gave me a map when I checked in and even with the map I kept getting lost.

Oh yeah, be prepared for a very high resort fee.

Again, the room was very nice, so I won't say that I'm not going to stay there again, but I have stayed at better hotels for less, so it definitely won't be my first choice.",0,0,0
VyjyHoBg3KC5BSFRlD0ZPQ,Hotels,Caesars Palace Las Vegas Hotel & Casino,Las Vegas,NV,3,2,2012-10-26 00:00:00,kfLesTlPelVPqIqmMehpSg,"Gargantuan and Inconsistent!

In a city where everything is larger than life, Caesar's Palace is probably the king. This is something to think about when booking - because getting from point A to point B in this palace-place is going to eat up your time.

In terms of the standard services - guest check-in/out, bell staff, housekeeping, spa, taxi line, doormen, you'll be dealing with some very nice people and experience attentive service - and for this excellence - the star rating of this hotel is warranted. But remember - this is a massive hotel - that often appears understaffed - so sometimes your wait for this excellent service is going to be a bit longer than you'd expect.. And - while the general staff was wonderful - a small brush with management over a water shut down (for seven hours - with no planned adjustment to the bill) - showed management to be unpleasant, aloof, and disconnected from the guest experience. No stars for management.

The rooms themselves are great, if you're staying in the recently renovated Forum Tower. There, Caesar's Palace appears a five-star hotel. However, if you're in the Roman Tower expect the average-quality of a three-star hotel that has seen better days.

The best thing about this hotel was the Spa - which - while quite expensive - was worth the price and experience.

In other - wifi will run you about 15 bucks a day for service - but only in your room. If you want to access the hotel wifi from other areas of the property, you're looking at an additional fee.

Overall - while the stay was okay - the size of the hotel got to be cumbersome - and the inconsistency of value an annoyance.",6,0,0
